SPECIES,SITE_ID,Height_min,Height_max,Behaviour,WEATHER_CONDITIONS,N_INDIVIDUALS,SEASON,HABITAT,Longitude,Latitude
S7,Zone E,16,28,B3,"sunny, light breeze",5,C,X1,130.2452788,-32.3306172
S7,Zone E,47,43,B3,"sunny, light breeze",8,C,X1,130.2452788,-32.3306172
S7,Zone A,12,33,B3,"sunny, moderate breeze",7,C,X1,130.030827,-32.14049329
S8,Zone G,15,35,B3,"ESE wind, gusty strong breeze, clear skies",5,A,X4,130.1171401,-32.21401792
S8,Zone F,15,35,B5,"strong, gusty ENE wind. Hot  day >35 degrees C, clear skies",5,A,X6,130.1594802,-32.20812932
S8,Zone H,65,85,B5,"SE wind, gusty at times, clear skies",5,A,X6,130.133218,-32.29602514
S8,Zone A,NA,35,B5,"Strong SE wind, clear skies",5,A,X1,130.030827,-32.14049329
S8,Zone E,35,45,B1,sheltered by large trees and nearby ridge,6,A,X1,130.2453818,-32.22617201
S8,Zone E,35,45,B1,Very strong northerly (wind funnels through creekline and along steep ridge).,5,A,X1,130.2453818,-32.22617201
S8,Zone D,25,35,B1,Mild Easterly,5,A,X3,130.1692709,-32.44834877
S8,Zone D,NA,NA,B1,Mild Easterly,5,A,X3,130.1692709,-32.44834877
S8,Zone F,15,20,B5,"Clear, strong wind from NE",5,A,X8,130.2022983,-32.15430901
S8,Zone A,NA,75,B3,"Clear, warm, light E'ly breeze",5,B,X1,130.030827,-32.14049329
S8,Zone E,NA,75,B5,strong wind 100,5,B,X1,130.2453818,-32.22617201
S8,Zone H,NA,25,B3,medium wind 100,5,B,X1,130.164601,-32.28404537
S8,Zone E,NA,75,B3,medium wind 120,5,B,X1,130.2453818,-32.22617201
S8,Zone F,21,52,B5,"Sunny, easterly wind gusty at times ",5,C,X6,130.1594802,-32.20812932
S8,Zone E,14,22,B2,"Sunny, easterly wind gusty at times ",5,C,X1,130.2453818,-32.22617201
S8,Zone G,36,48,B3,"cloudy, warm, strong wind",5,C,X4,130.1458091,-32.32572974
S8,Zone D,25,46,B5,"fine, clear, strong E'ly breeze",5,C,X3,130.1692709,-32.44834877
S8,Zone F,33,150,B5,"fine, clear, strong E'ly breeze",5,C,X8,130.2022983,-32.15430901
S8,Zone A,NA,NA,B5,"Sunny, SE wind gusty at times ",5,C,X4,130.0437059,-32.20004486
S8,Zone C,17,35,B1,"cloudy, light breeze",6,C,X1,130.239891,-32.47313511
S8,Zone D,12,19,B3,"partly cloudy, calm",5,C,X3,130.1692709,-32.44834877
S8,Zone E,37,57,B3,"sunny, light breeze",5,C,X1,130.2452788,-32.3306172
S9,Zone A,NA,13,B7,"ENE wind, gusty at times, clear skies",5,A,X1,130.030827,-32.14049329
S9,Zone A,NA,10,B7,"SE wind, gusty at times, clear skies",5,A,X1,130.030827,-32.14049329
S9,Zone D,NA,NA,B3,Mild Easterly,5,A,X3,130.1692709,-32.44834877
S9,Zone E,NA,NA,NA,"Still, clear conditions",5,A,X1,130.2453818,-32.22617201
S9,Zone B,NA,25,B2,"Clear conditions, moderate breeze from SE with occasional strong gusts",5,B,X4,130.0211448,-32.32262952
S9,Zone C,NA,25,B2,0/01/1900,5,B,X1,130.0557016,-32.43227597
S9,Zone E,5,25,B4,no wind,5,B,X1,130.2453818,-32.22617201
S9,Zone E,5,7,B2,"Sunny, easterly wind gusty at times ",5,C,X1,130.2453818,-32.22617201
S9,Zone D,9,11,B3,"cloudy, warm, strong wind",5,C,X2,130.1260132,-32.36875353
S10,Zone E,NA,25,B1,"ESE wind, gusty strong breeze, clear skies",6,A,X4,130.2040977,-32.22226437
S10,Zone A,NA,NA,B1,"SE wind, gusty at times, clear skies",7,A,X1,130.0327924,-32.16947172
S10,Zone E,NA,NA,NA,sheltered by large trees and nearby ridge,8,A,X1,130.2453818,-32.22617201
S10,Zone E,NA,NA,NA,Very strong northerly (wind funnels through creekline and along steep ridge).,NA,A,X1,130.2453818,-32.22617201
S10,Zone C,NA,NA,NA,Strong Easterly,5,A,X1,130.239891,-32.47313511
S10,Zone B,NA,NA,NA,Strong easterly,7,A,X1,130.0850503,-32.27792669
S10,Zone C,NA,NA,NA,Easterly,6,A,X4,130.2372141,-32.50679697
S10,Zone E,NA,NA,NA,"Clear conditions, mild breeze from SE",7,A,X4,130.2040977,-32.22226437
S10,Zone D,NA,7,B3,"Clear conditions, moderate breeze from SE",7,A,X4,130.1488508,-32.48177617
S10,Zone H,NA,NA,B2,"Moderate wind from NE, clear conditions",6,A,X1,130.0761366,-32.35155981
S10,Zone G,NA,NA,B2,"Clear, strong wind from North East ",6,A,X1,130.1257698,-32.26561097
S10,Zone B,NA,NA,NA,"Gentle to moderate breeze from NE, clear conditions",6,A,X1,130.0850503,-32.27792669
S10,Zone E,NA,10,B2,"Moderate wind from E, clear conditions",6,A,X4,130.2040977,-32.22226437
S10,Zone H,NA,25,B2,"Partly cloudy, strong SE wind.",6,B,X1,130.0761366,-32.35155981
S10,Zone E,NA,25,NA,0/01/1900,6,B,X1,130.241277,-32.42658892
S10,Zone C,NA,25,NA,0/01/1900,5,B,X5,130.0459086,-32.52789957
S10,Zone G,NA,25,NA,0/01/1900,6,B,X1,130.1257698,-32.26561097
S10,Zone H,NA,25,NA,"Partly cloudy, light NW wind.",6,B,X4,130.1186258,-32.45876212
S10,Zone B,NA,25,NA,strong wind 155,5,B,X2,130.3157018,-32.49333462
S10,Zone D,NA,25,NA,strong wind 90,5,B,X3,130.1692709,-32.44834877
S10,Zone E,NA,25,NA,strong wind 90,5,B,X1,130.241277,-32.42658892
S10,Zone F,NA,25,NA,strong wind 100,6,B,X8,130.2022983,-32.15430901
S10,Zone E,NA,25,NA,light wind 80,6,B,X4,130.2040977,-32.22226437
S10,Zone F,NA,25,NA,strong wind 110,6,B,X8,130.2022983,-32.15430901
S10,Zone A,NA,25,B2,light wind 200,5,B,X4,130.0674542,-32.25413856
S10,Zone D,NA,25,B1,"Hot Easterly wind, clear skies",7,B,X1,130.0923706,-32.49824002
S10,Zone D,NA,25,B1,"Light easterly breeze, clear skies",7,B,X3,130.1692709,-32.44834877
S10,Zone H,NA,25,B1,"Warm, slight northerly breeze, clear skies",6,B,X4,130.1186258,-32.45876212
S10,Zone E,NA,25,B1,"Hot, SE breeze, clear skies",8,B,X4,130.2040977,-32.22226437
S10,Zone H,9,10,B1,"fine, warm, still",5,C,X4,130.1186258,-32.45876212
S10,Zone D,10,11,B1,"partly cloudy, warm, strong wind",9,C,X1,130.0923706,-32.49824002
S10,Zone C,10,18,B1,"fine, clear, light E'ly breeze",9,C,X1,130.239891,-32.47313511
S10,Zone E,7,11,B1,"fine, partly cloudy, moderate E'ly breeze",9,C,X4,130.2040977,-32.22226437
S10,Zone E,8,13,B1,"fine, clear, moderate SE'ly breeze",9,C,X4,130.2040977,-32.22226437
S10,Zone H,8,10,B3,"sunny, light breeze",5,C,X4,130.1186258,-32.45876212
S10,Zone D,NA,NA,NA,"cloudy, light breeze",6,C,X1,130.0923706,-32.49824002
S10,Zone C,8,9,B3,"sunny, breezy",5,C,X5,130.0459086,-32.52789957
S10,Zone E,NA,NA,NA,"sunny, light breeze",5,C,X1,130.2452788,-32.3306172
S10,Zone E,NA,NA,NA,"sunny, calm",6,C,X1,130.241277,-32.42658892
S10,Zone C,NA,NA,NA,"sunny, calm",5,C,X1,130.239891,-32.47313511
S11,Zone H,55,105,B5,"ESE wind, gusty at times, clear skies",5,A,X1,130.0761366,-32.35155981
S11,Zone B,NA,105,B5,"Southerly breeze, hot clear skies",6,A,X4,130.0211448,-32.32262952
S11,Zone A,45,65,B5,"Strong SE wind, clear skies",6,A,X4,130.0437059,-32.20004486
S11,Zone C,NA,75,B3,0/01/1900,6,B,X1,130.0557016,-32.43227597
S11,Zone H,NA,75,B3,0/01/1900,5,B,X6,130.133218,-32.29602514
S11,Zone B,NA,75,B5,"Hot NE breeze, clear skies",6,B,X4,130.0211448,-32.32262952
S11,Zone H,6,155,B1,"partly cloudy, warm, moderate wind",5,C,X4,130.1186258,-32.45876212
S11,Zone C,15,75,B1,"fine, clear, light E'ly breeze",5,C,X1,130.239891,-32.47313511
S11,Zone B,35,105,B5,"sunny, light breeze",5,C,X4,130.0454944,-32.38497506
S11,Zone H,15,105,B5,"sunny, light breeze",6,C,X4,130.1186258,-32.45876212
S11,Zone C,60,95,B5,"sunny, breezy",5,C,X4,130.0633847,-32.46023925
S12,Zone A,NA,25,B2,medium wind 100,5,B,X1,130.0327924,-32.16947172
S13,Zone E,NA,NA,B3,Very strong northerly (wind funnels through creekline and along steep ridge).,6,A,X1,130.2453818,-32.22617201
S13,Zone D,NA,NA,B3,Mild Easterly,44,A,X3,130.1692709,-32.44834877
S13,Zone G,NA,NA,B3,"Moderate wind from NE, clear conditions",6,A,X4,130.1458091,-32.32572974
S13,Zone E,NA,25,B3,"Still, clear conditions",6,A,X1,130.2453818,-32.22617201
S13,Zone C,NA,75,B3,0/01/1900,5,B,X1,130.0557016,-32.43227597
S13,Zone C,NA,25,B3,0/01/1900,6,B,X5,130.0459086,-32.52789957
S13,Zone D,NA,75,B3,strong wind 90,7,B,X3,130.1692709,-32.44834877
S13,Zone D,NA,75,B3,light wind 100,14,B,X3,130.1692709,-32.44834877
S13,Zone E,NA,25,B3,medium wind 100,6,B,X1,130.2452788,-32.3306172
S13,Zone E,NA,25,B3,no wind,7,B,X1,130.2453818,-32.22617201
S13,Zone C,NA,75,B1,"Easterly wind, slightly overcast",8,B,X5,130.0459086,-32.52789957
S13,Zone E,12,22,B1,"Sunny, easterly wind gusty at times ",19,C,X1,130.2453818,-32.22617201
S13,Zone A,20,24,B1,"Sunny, SE wind gusty at times ",5,C,X1,130.030827,-32.14049329
S13,Zone E,38,70,B1,"fine, clear, moderate wind",13,C,X1,130.241277,-32.42658892
S13,Zone D,30,35,B1,"fine, clear, strong wind",6,C,X3,130.1692709,-32.44834877
S13,Zone F,43,70,B3,"fine, clear, strong E'ly breeze with regular stronger gusts ",5,C,X8,130.2022983,-32.15430901
S13,Zone E,29,53,B1,"fine, clear, moderate SE'ly breeze",7,C,X1,130.2453818,-32.22617201
S13,Zone A,40,50,B1,"sunny, moderate breeze",6,C,X1,130.030827,-32.14049329
S14,Zone C,20,25,B3,"Easterly wind, gusty at times, hot clear day",5,A,X1,130.239891,-32.47313511
S14,Zone E,25,35,B3,"Light Easterly breeze, clear skies",7,A,X1,130.2452788,-32.3306172
S14,Zone A,NA,20,B3,"ENE wind, gusty at times, clear skies",5,A,X1,130.0327924,-32.16947172
S14,Zone G,NA,13,B3,"SE wind, gusty at times, clear skies",5,A,X1,130.1257698,-32.26561097
S14,Zone A,NA,20,B3,"SE wind, gusty at times, clear skies",5,A,X1,130.0327924,-32.16947172
S14,Zone D,NA,NA,NA,Mild Easterly,5,A,X3,130.1692709,-32.44834877
S14,Zone D,NA,NA,NA,Mild Easterly,5,A,X3,130.1692709,-32.44834877
S14,Zone E,NA,NA,B7,Strong Easterly,5,A,X1,130.241277,-32.42658892
S14,Zone E,NA,NA,NA,Strong Easterly,5,A,X1,130.241277,-32.42658892
S14,Zone B,NA,NA,NA,Strong easterly,6,A,X1,130.0850503,-32.27792669
S14,Zone C,NA,NA,NA,Easterly,5,A,X4,130.2372141,-32.50679697
S14,Zone D,NA,NA,NA,Mild Easterly,5,A,X3,130.1692709,-32.44834877
S14,Zone E,NA,NA,NA,Strong easterly,5,A,X1,130.2452788,-32.3306172
S14,Zone A,NA,45,B3,"Clear conditions, strong gusty breeze from SE",5,A,X1,130.0327924,-32.16947172
S14,Zone G,NA,10,B3,"Clear, strong wind from East ",5,A,X1,130.1257698,-32.26561097
S14,Zone C,NA,15,B3,"Moderate wind from NE, clear conditions",5,A,X4,130.0633847,-32.46023925
S14,Zone G,NA,NA,B2,"Clear, strong wind from North East ",5,A,X1,130.1257698,-32.26561097
S14,Zone B,NA,25,B3,"Clear, hot, light breeze ",6,B,X2,130.3157018,-32.49333462
S14,Zone C,NA,25,B4,"Still, hot, clear",6,B,X1,130.239891,-32.47313511
S14,Zone F,NA,25,B3,0/01/1900,6,B,X6,130.1594802,-32.20812932
S14,Zone H,NA,25,B2,0/01/1900,6,B,X6,130.133218,-32.29602514
S14,Zone E,NA,25,B3,0/01/1900,6,B,X1,130.2452788,-32.3306172
S14,Zone B,NA,25,B2,0/01/1900,7,B,X1,130.0850503,-32.27792669
S14,Zone A,NA,25,B3,"Clear, warm, light E'ly breeze",6,B,X1,130.030827,-32.14049329
S14,Zone B,NA,25,NA,strong wind 155,5,B,X2,130.3157018,-32.49333462
S14,Zone D,NA,25,NA,light wind 100,7,B,X3,130.1692709,-32.44834877
S14,Zone D,NA,25,B3,light wind 80,5,B,X4,130.1488508,-32.48177617
S14,Zone E,NA,25,B3,no wind,5,B,X1,130.2453818,-32.22617201
S14,Zone A,NA,25,B3,light wind 130,5,B,X1,130.030827,-32.14049329
S14,Zone B,NA,25,B3,"Hot dry ESE wind, gusty at times. Clear skies",6,B,X1,130.0850503,-32.27792669
S14,Zone D,NA,25,B1,"Light easterly breeze, clear skies",6,B,X3,130.1692709,-32.44834877
S14,Zone D,NA,25,B1,"Warm humid, no wind, some high cloud cover",6,B,X4,130.1041932,-32.4251709
S14,Zone G,8,11,B1,"Sunny, easterly wind gusty at times ",5,C,X4,130.1171401,-32.21401792
S14,Zone B,25,28,B2,"fine, warm, moderate breeze",6,C,X1,130.0850503,-32.27792669
S14,Zone G,30,35,B3,"fine, warm, moderate breeze",7,C,X1,130.1257698,-32.26561097
S14,Zone E,27,30,B1,"fine, clear, moderate wind",6,C,X1,130.241277,-32.42658892
S14,Zone G,6,105,B3,"fine, clear, light E'ly breeze",17,C,X4,130.1779859,-32.39536412
S14,Zone E,19,30,B3,"fine, clear, strong E'ly breeze",5,C,X1,130.241277,-32.42658892
S14,Zone F,28,53,B3,"fine, clear, strong E'ly breeze with regular stronger gusts ",6,C,X4,130.2225679,-32.18382245
S14,Zone D,10,25,B3,0/01/1900,6,C,X4,130.1488508,-32.48177617
S14,Zone B,25,30,B5,"sunny, light breeze",5,C,X4,130.0748139,-32.30165297
S14,Zone H,13,17,B3,"Sunny, light breeze",7,C,X1,130.164601,-32.28404537
S14,Zone H,15,20,B7,"Sunny, light breeze",8,C,X6,130.133218,-32.29602514
S14,Zone B,35,40,B3,"Sunny, strong breeze",5,C,X4,130.0454944,-32.38497506
S14,Zone D,11,11,B2,"partly cloudy, calm",6,C,X3,130.1692709,-32.44834877
S14,Zone B,NA,NA,NA,"sunny, strong breeze",5,C,X2,130.3157018,-32.49333462
S15,Zone A,NA,NA,B7,"ENE wind, gusty at times, clear skies",6,A,X1,130.0327924,-32.16947172
S15,Zone E,NA,NA,NA,Strong Easterly,6,A,X1,130.241277,-32.42658892
S15,Zone C,NA,NA,NA,strong easterly in gusts,5,A,X1,130.0557016,-32.43227597
S15,Zone H,NA,12,B4,"Moderate wind from NE, clear conditions",5,A,X1,130.0761366,-32.35155981
S15,Zone D,NA,25,B2,"Fine, clear, light E'ly breeze",6,B,X1,130.0923706,-32.49824002
S16,Zone D,NA,8,B2,"Clear conditions, moderate breeze from SE",7,A,X4,130.1488508,-32.48177617
S17,Zone D,NA,25,B6,light wind 100,5,B,X3,130.1692709,-32.44834877
S17,Zone D,NA,25,B1,"Light easterly breeze, clear skies",5,B,X3,130.1692709,-32.44834877
S18,Zone B,NA,NA,B3,Easterly,5,A,X2,130.3157018,-32.49333462
S19,Zone A,NA,25,B3,"SE wind, gusty at times, clear skies",5,A,X1,130.0327924,-32.16947172
S19,Zone A,15,35,B5,"ESE wind, gusty at times, clear skies",5,A,X4,130.0674542,-32.25413856
S19,Zone E,25,35,B1,Very strong northerly (wind funnels through creekline and along steep ridge).,5,A,X1,130.2453818,-32.22617201
S19,Zone F,7,10,B5,"Gentle breeze from NE, clear conditions",5,A,X4,130.2225679,-32.18382245
S19,Zone B,NA,15,B5,"Strong breeze from NE, clear conditions",5,A,X4,130.0748139,-32.30165297
S19,Zone H,NA,25,B3,0/01/1900,5,B,X6,130.133218,-32.29602514
S19,Zone E,NA,25,B5,strong wind 100,6,B,X1,130.2453818,-32.22617201
S19,Zone E,NA,75,B3,light wind 80,6,B,X4,130.2040977,-32.22226437
S19,Zone C,NA,25,B1,"Warm, slight northerly breeze, clear skies",5,B,X4,130.0633847,-32.46023925
S19,Zone E,NA,25,B4,"Hot, SE breeze, clear skies",5,B,X4,130.2040977,-32.22226437
S19,Zone E,31,70,B3,"fine, clear, strong E'ly breeze",5,C,X1,130.241277,-32.42658892
S19,Zone E,20,45,B4,"fine, partly cloudy, moderate E'ly breeze",5,C,X4,130.2040977,-32.22226437
S19,Zone F,60,155,B5,"fine, clear, strong E'ly breeze",6,C,X8,130.2022983,-32.15430901
S19,Zone D,6,9,-,0/01/1900,5,C,X4,130.1488508,-32.48177617
S19,Zone C,5,8,B2,"sunny, breezy",5,C,X4,130.0633847,-32.46023925
S19,Zone C,6,95,B3,"sunny, breezy",5,C,X4,130.0633847,-32.46023925
S20,Zone D,6,10,B1,"cloudy, warm, strong wind",5,C,X2,130.1260132,-32.36875353
S20,Zone D,5,7,B1,"fine, clear, v light E'ly breeze",5,C,X2,130.1260132,-32.36875353
S20,Zone B,9,11,B1,"fine, clear, strong E'ly breeze",5,C,X2,130.3157018,-32.49333462
S20,Zone B,NA,NA,NA,"sunny, strong breeze",6,C,X2,130.3157018,-32.49333462
S21,Zone A,NA,NA,NA,Medium easterly,5,A,X4,130.0455436,-32.14776484
S21,Zone G,NA,7,B3,"no wind, clear conditions",5,A,X4,130.1458091,-32.32572974
S21,Zone E,NA,25,B6,0/01/1900,5,B,X4,130.2042642,-32.24900808
S21,Zone B,NA,25,B6,"Clear, hot, occasional light gusts",5,B,X2,130.3157018,-32.49333462
S21,Zone C,NA,25,B2,strong wind 130,5,B,X4,130.2372141,-32.50679697
S21,Zone F,NA,25,B7,strong wind 100,7,B,X8,130.2022983,-32.15430901
S21,Zone E,NA,25,B3,no wind,5,B,X4,130.2042642,-32.24900808
S21,Zone F,NA,25,B3,strong wind 110,6,B,X8,130.2022983,-32.15430901
S21,Zone A,NA,25,NA,medium wind 100,5,B,X1,130.0327924,-32.16947172
S21,Zone B,NA,25,B1,"Easterly wind, clear skies",5,B,X4,130.0454944,-32.38497506
S21,Zone H,NA,25,B2,"Easterly wind, clear skies",5,B,X7,130.1886283,-32.31312571
S21,Zone B,NA,25,B1,"Hot, gusty easterly wind, some cloud cover",6,B,X4,130.0211448,-32.32262952
S21,Zone G,NA,25,NA,"Hot, gusty easterly wind, some cloud cover",5,B,X2,130.1130163,-32.34329067
S21,Zone G,NA,25,B1,"Easterly wind, clear skies",5,B,X4,130.1458091,-32.32572974
S21,Zone A,NA,25,NA,"Hot Easterly breeze, some cloud cover.",5,B,X4,130.0674542,-32.25413856
S21,Zone G,5,7,B4,"Sunny, slight easterly breeze",5,C,X4,130.1171401,-32.21401792
S21,Zone H,5,5,B6,"mostly sunny, v light breeze ",5,C,X1,130.0761366,-32.35155981
S21,Zone D,5,6,NA,"fine, warm, still",5,C,X4,130.1041932,-32.4251709
S21,Zone D,5,6,B6,"cloudy, warm, strong wind",5,C,X2,130.1260132,-32.36875353
S21,Zone G,5,6,NA,"cloudy, warm, strong wind",5,C,X4,130.1458091,-32.32572974
S21,Zone E,5,6,NA,"fine, clear, v light E'ly breeze",5,C,X4,130.2040977,-32.22226437
S21,Zone H,5,6,NA,"fine, clear, moderate NE'ly breeze",5,C,X7,130.1886283,-32.31312571
S21,Zone F,5,6,NA,"fine, partly cloudy, moderate E'ly breeze",5,C,X4,130.2225679,-32.18382245
S21,Zone G,5,6,B4,"fine, clear, strong E'ly breeze",6,C,X4,130.1458091,-32.32572974
S21,Zone H,NA,NA,-,"fine, clear, moderate SE'ly breeze",6,C,X7,130.1886283,-32.31312571
S21,Zone F,5,6,NA,"fine, clear, strong SE'ly breeze",5,C,X7,130.1800519,-32.26204008
S21,Zone A,NA,NA,-,"Sunny, SE wind gusty at times ",5,C,X4,130.0437059,-32.20004486
S21,Zone C,5,7,B6,"Sunny, light breeze",5,C,X5,130.0459086,-32.52789957
S22,Zone G,NA,8,B3,"ESE wind, gusty strong breeze, clear skies",29,A,X4,130.1171401,-32.21401792
S22,Zone E,NA,9,B3,"ESE wind, gusty strong breeze, clear skies",16,A,X4,130.2040977,-32.22226437
S22,Zone G,NA,NA,B2,"NE wind, gusty at times, hot with clear skies",9,A,X4,130.1171401,-32.21401792
S22,Zone C,NA,10,B1,"Easterly wind, gusty at times, hot clear day",13,A,X1,130.239891,-32.47313511
S22,Zone A,NA,13,B7,"ENE wind, gusty at times, clear skies",19,A,X1,130.030827,-32.14049329
S22,Zone G,NA,9,B7,"SE wind, gusty at times, clear skies",20,A,X1,130.1257698,-32.26561097
S22,Zone H,NA,NA,B3,Strong easterly,6,A,X7,130.1886283,-32.31312571
S22,Zone E,NA,NA,B3,Very strong northerly (wind funnels through creekline and along steep ridge).,6,A,X1,130.2453818,-32.22617201
S22,Zone C,NA,NA,B3,Strong Easterly,5,A,X1,130.239891,-32.47313511
S22,Zone E,NA,NA,B3,Strong Easterly,5,A,X1,130.241277,-32.42658892
S22,Zone E,NA,NA,NA,Strong easterly,6,A,X1,130.2452788,-32.3306172
S22,Zone C,NA,NA,NA,Easterly,6,A,X4,130.2372141,-32.50679697
S22,Zone D,NA,NA,NA,Mild Easterly,5,A,X3,130.1692709,-32.44834877
S22,Zone E,NA,NA,NA,Strong easterly,6,A,X1,130.2452788,-32.3306172
S22,Zone E,NA,7,B4,"Clear conditions, mild breeze from SE",5,A,X4,130.2040977,-32.22226437
S22,Zone H,NA,NA,NA,"Clear conditions, mild breeze from SE",5,A,X7,130.1886283,-32.31312571
S22,Zone G,NA,7,B3,"Clear, strong wind from East ",18,A,X1,130.1257698,-32.26561097
S22,Zone E,NA,6,B3,"Still, clear conditions",11,A,X1,130.2453818,-32.22617201
S22,Zone G,NA,7,B3,"Clear, strong wind from North East ",26,A,X1,130.1257698,-32.26561097
S22,Zone B,NA,10,B4,"Gentle ESE breeze, clear conditions",9,A,X4,130.0211448,-32.32262952
S22,Zone B,NA,10,B3,"Gentle to moderate breeze from NE, clear conditions",6,A,X1,130.0850503,-32.27792669
S22,Zone H,NA,6,B3,"Moderate wind from E, clear conditions",6,A,X7,130.1886283,-32.31312571
S22,Zone E,NA,6,B4,"Moderate wind from E, clear conditions",5,A,X4,130.2040977,-32.22226437
S22,Zone G,NA,7,B3,"Moderate breeze from NE, clear conditions",34,A,X4,130.1171401,-32.21401792
S22,Zone B,NA,25,B6,"Clear conditions, moderate breeze from SE with occasional strong gusts",9,B,X4,130.0211448,-32.32262952
S22,Zone C,NA,25,B3,"Still, hot, clear",19,B,X1,130.239891,-32.47313511
S22,Zone E,NA,25,B3,0/01/1900,20,B,X4,130.2042642,-32.24900808
S22,Zone D,NA,25,B6,"Fine, clear, light E'ly breeze",5,B,X1,130.0923706,-32.49824002
S22,Zone G,NA,25,B6,"Fine, clear, moderate E'ly breeze",26,B,X1,130.1257698,-32.26561097
S22,Zone G,NA,25,B6,"Fine, clear, moderate E'ly breeze",30,B,X4,130.1171401,-32.21401792
S22,Zone C,NA,25,B3,"Clear, hot, moderate SW'ly breeze",5,B,X1,130.239891,-32.47313511
S22,Zone H,NA,25,B3,strong wind 110,6,B,X7,130.1886283,-32.31312571
S22,Zone D,NA,25,B6,light wind 100,6,B,X3,130.1692709,-32.44834877
S22,Zone D,NA,25,B3,light wind 100,7,B,X2,130.1260132,-32.36875353
S22,Zone F,NA,25,B6,strong wind 100,6,B,X8,130.2022983,-32.15430901
S22,Zone H,NA,25,B3,light wind 160,5,B,X1,130.0761366,-32.35155981
S22,Zone E,NA,25,B6,light wind 80,8,B,X4,130.2040977,-32.22226437
S22,Zone H,NA,25,B6,light wind 80,10,B,X1,130.164601,-32.28404537
S22,Zone A,NA,25,B6,light wind 130,12,B,X1,130.030827,-32.14049329
S22,Zone A,NA,25,B6,"Very hot, gusty hot southerly breeze, clear skies",6,B,X1,130.0327924,-32.16947172
S22,Zone C,NA,25,B1,"Easterly wind, slightly overcast",5,B,X5,130.0459086,-32.52789957
S22,Zone H,NA,25,B1,"Hot dry ESE wind, gusty at times. Clear skies",10,B,X6,130.133218,-32.29602514
S22,Zone H,NA,25,B1,"Hot, gusty easterly wind, some cloud cover",5,B,X1,130.0761366,-32.35155981
S22,Zone D,NA,25,B1,"Warm, slight northerly breeze, clear skies",8,B,X1,130.0923706,-32.49824002
S22,Zone H,NA,25,B1,"Warm, slight northerly breeze, clear skies",6,B,X4,130.1186258,-32.45876212
S22,Zone F,NA,25,B3,"Very hot, gusty hot southerly breeze, clear skies",5,B,X6,130.1879648,-32.1889944
S22,Zone G,5,8,B1,"Sunny, slight easterly breeze",12,C,X4,130.1171401,-32.21401792
S22,Zone G,5,6,B1,"Sunny, easterly wind gusty at times ",13,C,X4,130.1171401,-32.21401792
S22,Zone A,5,7,B1,"Sunny, SE wind gusty at times ",10,C,X4,130.0455436,-32.14776484
S22,Zone B,5,5,B6,"fine, warm, moderate breeze",5,C,X4,130.0748139,-32.30165297
S22,Zone B,5,6,B2,"fine, warm, moderate breeze",9,C,X1,130.0850503,-32.27792669
S22,Zone G,5,6,B3,"fine, warm, moderate breeze",8,C,X1,130.1257698,-32.26561097
S22,Zone E,5,6,B6,"fine, clear, strong wind",17,C,X1,130.2452788,-32.3306172
S22,Zone E,5,8,B1,"fine, clear, v light E'ly breeze",5,C,X4,130.2040977,-32.22226437
S22,Zone D,5,15,B3,"fine, clear, strong E'ly breeze",6,C,X3,130.1692709,-32.44834877
S22,Zone E,5,8,B3,"fine, partly cloudy, moderate E'ly breeze",8,C,X4,130.2040977,-32.22226437
S22,Zone F,5,5,B1,"fine, partly cloudy, moderate E'ly breeze",9,C,X6,130.1879648,-32.1889944
S22,Zone E,5,6,B3,"fine, clear, moderate SE'ly breeze",6,C,X4,130.2040977,-32.22226437
S22,Zone H,NA,NA,-,"fine, clear, moderate SE'ly breeze",NA,C,X7,130.1886283,-32.31312571
S22,Zone F,5,6,B3,"fine, clear, strong SE'ly breeze",8,C,X7,130.1800519,-32.26204008
S22,Zone F,5,6,B3,"fine, clear, strong E'ly breeze",5,C,X4,130.2225679,-32.18382245
S22,Zone A,NA,NA,-,"Sunny, SE wind gusty at times ",5,C,X1,130.0327924,-32.16947172
S22,Zone B,5,7,B4,"sunny, light breeze",6,C,X4,130.0211448,-32.32262952
S22,Zone D,5,8,B3,"cloudy, light breeze",7,C,X1,130.0923706,-32.49824002
S22,Zone C,5,9,B3,"cloudy, light breeze",11,C,X1,130.239891,-32.47313511
S22,Zone C,5,5,B6,"sunny, breezy",7,C,X1,130.0557016,-32.43227597
S22,Zone G,5,5,B6,"cloudy, breezy",5,C,X4,130.1779859,-32.39536412
S22,Zone C,5,5,B7,"sunny, calm",5,C,X1,130.239891,-32.47313511
S22,Zone A,5,8,B4,"sunny, moderate breeze",7,C,X4,130.0455436,-32.14776484
S22,Zone A,5,6,B4,"sunny, moderate breeze",6,C,X4,130.0674542,-32.25413856
S22,Zone B,5,7,B4,"sunny, moderate breeze",8,C,X4,130.0211448,-32.32262952
S22,Zone G,5,6,B4,"sunny, light breeze",5,C,X1,130.1257698,-32.26561097
S23,Zone A,NA,13,B4,"SE wind, gusty at times, clear skies",5,A,X1,130.0327924,-32.16947172
S23,Zone A,NA,25,B4,"Very hot, gusty hot southerly breeze, clear skies",7,B,X1,130.0327924,-32.16947172
S24,Zone B,NA,NA,NA,Easterly,8,A,X2,130.3157018,-32.49333462
S24,Zone B,8,9,B3,"sunny, calm",6,C,X2,130.3157018,-32.49333462
